Municipio,SE,Casos,Mediana,Q1,Q3
Colatina,18,38.0,12.5,3.5,56.25
Colatina,19,79.0,22.5,3.25,48.0
Colatina,20,34.0,22.5,2.5,53.0
Colatina,21,42.0,23.5,3.5,55.5
Colatina,22,23.0,15.5,6.75,50.25
Colatina,23,40.0,15.5,4.5,44.25
Colatina,24,39.0,8.5,0.75,34.75
Colatina,25,41.0,4.5,1.0,34.75
Colatina,26,47.0,3.5,1.0,24.5
Colatina,27,50.0,4.0,0.75,18.25
Colatina,28,17.0,3.5,0.75,20.25
Colatina,29,27.0,1.0,0.0,16.25
Colatina,30,24.0,3.5,0.75,10.0
Colatina,31,30.0,3.0,0.0,10.25
Colatina,32,37.0,2.0,1.0,5.0
Colatina,33,25.0,2.0,0.0,5.0
Colatina,34,23.0,1.0,0.0,5.0
Colatina,35,17.0,1.5,1.0,4.5
Colatina,36,3.0,0.5,0.0,3.25
Colatina,37,,0.5,0.0,8.25
Colatina,38,,1.0,0.0,8.25
Colatina,39,,0.0,0.0,4.25
Colatina,40,,0.5,0.0,4.75
Colatina,41,,0.0,0.0,1.75
Colatina,42,,1.0,0.75,4.0
Colatina,43,,2.0,0.0,4.25
Colatina,44,,1.0,0.0,5.5
Colatina,45,,2.0,0.0,5.5
Colatina,46,,1.5,0.0,7.5
Colatina,47,,1.0,0.0,6.25
Colatina,48,,2.5,0.75,6.25
Colatina,49,,3.5,0.75,8.25
Colatina,50,,3.5,0.0,10.75
Colatina,51,,1.5,0.0,7.25
Colatina,52,,2.0,0.0,8.75
Governador Lindenberg,1,5.0,0.0,0.0,0.0
Governador Lindenberg,2,0.0,0.0,0.0,0.0
Governador Lindenberg,3,5.0,0.0,0.0,0.0
Governador Lindenberg,4,8.0,0.0,0.0,0.25
Governador Lindenberg,5,7.0,0.0,0.0,0.0
Governador Lindenberg,6,4.0,0.0,0.0,0.25
Governador Lindenberg,7,17.0,0.0,0.0,1.0
Governador Lindenberg,8,30.0,0.0,0.0,0.5
Governador Lindenberg,9,20.0,0.0,0.0,1.25
Governador Lindenberg,10,14.0,0.0,0.0,0.25
Governador Lindenberg,11,20.0,0.0,0.0,0.5
Governador Lindenberg,12,24.0,0.0,0.0,0.25
Governador Lindenberg,13,11.0,0.0,0.0,0.0
Governador Lindenberg,14,14.0,0.0,0.0,0.25
Governador Lindenberg,15,12.0,0.0,0.0,0.0
Governador Lindenberg,16,9.0,0.0,0.0,2.0
Governador Lindenberg,17,12.0,0.0,0.0,0.25
Governador Lindenberg,18,10.0,0.0,0.0,1.0
Governador Lindenberg,19,6.0,0.0,0.0,1.25
Governador Lindenberg,20,5.0,0.0,0.0,0.0
Governador Lindenberg,21,3.0,0.0,0.0,1.0
Governador Lindenberg,22,0.0,0.0,0.0,0.0
Governador Lindenberg,23,2.0,0.0,0.0,1.0
Governador Lindenberg,24,2.0,0.0,0.0,0.0
Governador Lindenberg,25,1.0,0.0,0.0,0.25
Governador Lindenberg,26,4.0,0.0,0.0,1.0
Governador Lindenberg,27,1.0,0.0,0.0,0.0
Governador Lindenberg,28,1.0,0.0,0.0,0.0
Governador Lindenberg,29,1.0,0.0,0.0,0.25
Governador Lindenberg,30,0.0,0.0,0.0,0.0
Governador Lindenberg,31,0.0,0.0,0.0,0.25
Governador Lindenberg,32,0.0,0.0,0.0,0.0
Governador Lindenberg,33,1.0,0.0,0.0,0.0
Governador Lindenberg,34,0.0,0.0,0.0,0.0
Governador Lindenberg,35,0.0,0.0,0.0,0.0
Governador Lindenberg,36,0.0,0.0,0.0,0.0
Governador Lindenberg,37,,0.0,0.0,0.0
Governador Lindenberg,38,,0.0,0.0,0.25
Governador Lindenberg,39,,0.0,0.0,0.0
Governador Lindenberg,40,,0.0,0.0,0.0
Governador Lindenberg,41,,0.0,0.0,0.0
Governador Lindenberg,42,,0.0,0.0,0.0
Governador Lindenberg,43,,0.0,0.0,0.0
Governador Lindenberg,44,,0.0,0.0,0.0
Governador Lindenberg,45,,0.0,0.0,0.0
Governador Lindenberg,46,,0.0,0.0,0.0
Governador Lindenberg,47,,0.0,0.0,0.0
Governador Lindenberg,48,,0.0,0.0,0.0
Governador Lindenberg,49,,0.0,0.0,0.25
Governador Lindenberg,50,,0.0,0.0,0.0
Governador Lindenberg,51,,0.0,0.0,0.25
Governador Lindenberg,52,,0.0,0.0,0.0
Linhares,1,45.0,35.0,17.5,87.75
Linhares,2,40.0,38.5,14.75,105.5
Linhares,3,28.0,25.5,14.0,114.0
Linhares,4,56.0,30.5,13.75,116.75
Linhares,5,55.0,30.0,14.5,132.25
Linhares,6,50.0,41.5,14.0,141.25
Linhares,7,50.0,30.5,12.25,182.0
Linhares,8,20.0,28.5,16.25,204.75
Linhares,9,48.0,33.5,13.0,188.0
Linhares,10,39.0,50.0,15.0,262.25
Linhares,11,46.0,47.5,21.5,238.5
Linhares,12,43.0,54.5,18.5,260.75
Linhares,13,11.0,48.0,19.25,264.0
Linhares,14,15.0,65.0,19.25,254.5
Linhares,15,26.0,60.5,33.75,251.25
Linhares,16,20.0,49.5,24.5,187.0
Linhares,17,26.0,62.0,19.75,181.25
Linhares,18,36.0,59.5,24.0,170.75
Linhares,19,11.0,82.0,31.5,155.75
Linhares,20,5.0,77.5,29.25,165.0
Linhares,21,3.0,74.0,24.0,180.25
Linhares,22,2.0,80.0,26.75,193.25
Linhares,23,4.0,74.0,30.75,169.5
