TERRITORIO,INDICADOR,CASOS,DENOMINADOR,PERCENTUAL
GOVERNADOR LINDENBERG,Sorotipo informado sem RT-PCR positivo,1,46,2.2
GOVERNADOR LINDENBERG,RT-PCR positivo sem sorotipo,0,17,0.0
LINHARES,Sorotipo informado sem RT-PCR positivo,0,231,0.0
LINHARES,RT-PCR positivo sem sorotipo,0,1,0.0
MANTENOPOLIS,Sorotipo informado sem RT-PCR positivo,0,37,0.0
MANTENOPOLIS,RT-PCR positivo sem sorotipo,0,0,0.0
MARILANDIA,Sorotipo informado sem RT-PCR positivo,0,4,0.0
MARILANDIA,RT-PCR positivo sem sorotipo,0,0,0.0
PANCAS,Sorotipo informado sem RT-PCR positivo,1,625,0.2
PANCAS,RT-PCR positivo sem sorotipo,17,123,13.8
RIO BANANAL,Sorotipo informado sem RT-PCR positivo,0,11,0.0
RIO BANANAL,RT-PCR positivo sem sorotipo,0,2,0.0
SAO DOMINGOS DO NORTE,Sorotipo informado sem RT-PCR positivo,0,25,0.0
SAO DOMINGOS DO NORTE,RT-PCR positivo sem sorotipo,1,3,33.3
SAO GABRIEL DA PALHA,Sorotipo informado sem RT-PCR positivo,0,15,0.0
SAO GABRIEL DA PALHA,RT-PCR positivo sem sorotipo,1,2,50.0
SAO ROQUE DO CANAA,Sorotipo informado sem RT-PCR positivo,0,2,0.0
SAO ROQUE DO CANAA,RT-PCR positivo sem sorotipo,0,1,0.0
SOORETAMA,Sorotipo informado sem RT-PCR positivo,0,4,0.0
SOORETAMA,RT-PCR positivo sem sorotipo,0,4,0.0
VILA VALERIO,Sorotipo informado sem RT-PCR positivo,0,4,0.0
VILA VALERIO,RT-PCR positivo sem sorotipo,0,0,0.0
REGIONAL,Sorotipo informado sem RT-PCR positivo,5,2244,0.2
REGIONAL,RT-PCR positivo sem sorotipo,27,283,9.5
