MUNICIPIO,SE,CASOS
GOVERNADOR LINDENBERG,11,5
GOVERNADOR LINDENBERG,12,2
GOVERNADOR LINDENBERG,13,2
GOVERNADOR LINDENBERG,14,2
GOVERNADOR LINDENBERG,15,4
GOVERNADOR LINDENBERG,16,3
GOVERNADOR LINDENBERG,17,2
GOVERNADOR LINDENBERG,18,2
GOVERNADOR LINDENBERG,19,0
GOVERNADOR LINDENBERG,20,0
GOVERNADOR LINDENBERG,21,0
GOVERNADOR LINDENBERG,22,0
GOVERNADOR LINDENBERG,23,0
GOVERNADOR LINDENBERG,24,0
GOVERNADOR LINDENBERG,25,0
GOVERNADOR LINDENBERG,26,0
GOVERNADOR LINDENBERG,27,0
GOVERNADOR LINDENBERG,28,0
GOVERNADOR LINDENBERG,29,0
GOVERNADOR LINDENBERG,30,0
GOVERNADOR LINDENBERG,31,0
GOVERNADOR LINDENBERG,32,0
GOVERNADOR LINDENBERG,33,0
GOVERNADOR LINDENBERG,34,0
GOVERNADOR LINDENBERG,35,0
GOVERNADOR LINDENBERG,36,0
GOVERNADOR LINDENBERG,37,0
GOVERNADOR LINDENBERG,38,0
GOVERNADOR LINDENBERG,39,0
GOVERNADOR LINDENBERG,40,0
GOVERNADOR LINDENBERG,41,0
GOVERNADOR LINDENBERG,42,0
GOVERNADOR LINDENBERG,43,0
GOVERNADOR LINDENBERG,44,0
GOVERNADOR LINDENBERG,45,0
GOVERNADOR LINDENBERG,46,0
GOVERNADOR LINDENBERG,47,0
GOVERNADOR LINDENBERG,48,0
GOVERNADOR LINDENBERG,49,0
GOVERNADOR LINDENBERG,50,0
GOVERNADOR LINDENBERG,51,0
GOVERNADOR LINDENBERG,52,0
GOVERNADOR LINDENBERG,53,0
LINHARES,1,3
LINHARES,2,4
LINHARES,3,5
LINHARES,4,10
LINHARES,5,3
LINHARES,6,3
LINHARES,7,0
LINHARES,8,12
LINHARES,9,9
LINHARES,10,6
LINHARES,11,4
LINHARES,12,8
LINHARES,13,4
LINHARES,14,1
LINHARES,15,4
LINHARES,16,3
LINHARES,17,0
LINHARES,18,4
LINHARES,19,3
LINHARES,20,1
LINHARES,21,0
LINHARES,22,1
LINHARES,23,1
LINHARES,24,2
LINHARES,25,5
LINHARES,26,3
LINHARES,27,3
LINHARES,28,1
LINHARES,29,3
LINHARES,30,4
LINHARES,31,9
LINHARES,32,5
LINHARES,33,0
LINHARES,34,17
LINHARES,35,39
LINHARES,36,24
LINHARES,37,20
LINHARES,38,14
LINHARES,39,0
LINHARES,40,0
LINHARES,41,0
LINHARES,42,0
LINHARES,43,0
LINHARES,44,0
LINHARES,45,0
LINHARES,46,0
LINHARES,47,0
LINHARES,48,0
LINHARES,49,0
LINHARES,50,0
LINHARES,51,0
LINHARES,52,0
LINHARES,53,0
MANTENOPOLIS,1,1
MANTENOPOLIS,2,0
MANTENOPOLIS,3,0
MANTENOPOLIS,4,0
MANTENOPOLIS,5,2
MANTENOPOLIS,6,1
MANTENOPOLIS,7,2
MANTENOPOLIS,8,2
MANTENOPOLIS,9,3
MANTENOPOLIS,10,3
MANTENOPOLIS,11,4
MANTENOPOLIS,12,2
MANTENOPOLIS,13,2
MANTENOPOLIS,14,2
MANTENOPOLIS,15,1
MANTENOPOLIS,16,2
MANTENOPOLIS,17,1
MANTENOPOLIS,18,1
MANTENOPOLIS,19,0
MANTENOPOLIS,20,0
MANTENOPOLIS,21,0
MANTENOPOLIS,22,0
MANTENOPOLIS,23,1
MANTENOPOLIS,24,0
MANTENOPOLIS,25,0
MANTENOPOLIS,26,0
MANTENOPOLIS,27,1
MANTENOPOLIS,28,1
MANTENOPOLIS,29,0
MANTENOPOLIS,30,1
MANTENOPOLIS,31,0
MANTENOPOLIS,32,3
MANTENOPOLIS,33,0
MANTENOPOLIS,34,0
MANTENOPOLIS,35,0
MANTENOPOLIS,36,0
MANTENOPOLIS,37,1
MANTENOPOLIS,38,0
MANTENOPOLIS,39,0
MANTENOPOLIS,40,0
MANTENOPOLIS,41,0
MANTENOPOLIS,42,0
MANTENOPOLIS,43,0
MANTENOPOLIS,44,0
MANTENOPOLIS,45,0
MANTENOPOLIS,46,0
MANTENOPOLIS,47,0
MANTENOPOLIS,48,0
MANTENOPOLIS,49,0
MANTENOPOLIS,50,0
MANTENOPOLIS,51,0
MANTENOPOLIS,52,0
MANTENOPOLIS,53,0
MARILANDIA,1,0
MARILANDIA,2,0
MARILANDIA,3,0
MARILANDIA,4,0
MARILANDIA,5,0
MARILANDIA,6,0
MARILANDIA,7,0
MARILANDIA,8,0
MARILANDIA,9,0
MARILANDIA,10,0
MARILANDIA,11,0
MARILANDIA,12,0
MARILANDIA,13,1
MARILANDIA,14,0
MARILANDIA,15,0
MARILANDIA,16,0
MARILANDIA,17,0
MARILANDIA,18,1
MARILANDIA,19,0
MARILANDIA,20,0
MARILANDIA,21,0
MARILANDIA,22,0
MARILANDIA,23,0
MARILANDIA,24,0
MARILANDIA,25,0
MARILANDIA,26,0
MARILANDIA,27,0
MARILANDIA,28,0
MARILANDIA,29,1
MARILANDIA,30,0
MARILANDIA,31,1
MARILANDIA,32,0
MARILANDIA,33,0
MARILANDIA,34,0
MARILANDIA,35,0
MARILANDIA,36,0
MARILANDIA,37,0
MARILANDIA,38,0
MARILANDIA,39,0
MARILANDIA,40,0
MARILANDIA,41,0
MARILANDIA,42,0
MARILANDIA,43,0
MARILANDIA,44,0
MARILANDIA,45,0
MARILANDIA,46,0
MARILANDIA,47,0
MARILANDIA,48,0
MARILANDIA,49,0
MARILANDIA,50,0
MARILANDIA,51,0
MARILANDIA,52,0
MARILANDIA,53,0
PANCAS,1,1
PANCAS,2,0
PANCAS,3,0
PANCAS,4,0
PANCAS,5,0
PANCAS,6,1
PANCAS,7,3
PANCAS,8,11
PANCAS,9,19
PANCAS,10,12
PANCAS,11,49
PANCAS,12,50
PANCAS,13,50
PANCAS,14,68
PANCAS,15,88
PANCAS,16,73
PANCAS,17,73
PANCAS,18,44
PANCAS,19,14
PANCAS,20,17
PANCAS,21,16
PANCAS,22,5
PANCAS,23,1
PANCAS,24,3
PANCAS,25,5
PANCAS,26,2
PANCAS,27,1
PANCAS,28,2
PANCAS,29,1
PANCAS,30,2
PANCAS,31,5
PANCAS,32,1
PANCAS,33,2
PANCAS,34,3
PANCAS,35,0
PANCAS,36,1
PANCAS,37,1
PANCAS,38,3
PANCAS,39,0
PANCAS,40,0
PANCAS,41,0
PANCAS,42,0
PANCAS,43,0
PANCAS,44,0
PANCAS,45,0
PANCAS,46,0
PANCAS,47,0
PANCAS,48,0
PANCAS,49,0
PANCAS,50,0
PANCAS,51,0
PANCAS,52,0
PANCAS,53,0
RIO BANANAL,1,0
RIO BANANAL,2,0
RIO BANANAL,3,0
RIO BANANAL,4,0
RIO BANANAL,5,0
RIO BANANAL,6,0
RIO BANANAL,7,0
RIO BANANAL,8,0
RIO BANANAL,9,0
RIO BANANAL,10,0
RIO BANANAL,11,0
RIO BANANAL,12,0
RIO BANANAL,13,0
RIO BANANAL,14,0
RIO BANANAL,15,1
RIO BANANAL,16,0
RIO BANANAL,17,0
RIO BANANAL,18,1
RIO BANANAL,19,1
RIO BANANAL,20,0
RIO BANANAL,21,0
RIO BANANAL,22,0
RIO BANANAL,23,0
RIO BANANAL,24,0
RIO BANANAL,25,0
RIO BANANAL,26,0
RIO BANANAL,27,0
RIO BANANAL,28,0
RIO BANANAL,29,0
RIO BANANAL,30,0
RIO BANANAL,31,0
RIO BANANAL,32,2
RIO BANANAL,33,0
RIO BANANAL,34,2
RIO BANANAL,35,2
RIO BANANAL,36,0
RIO BANANAL,37,1
RIO BANANAL,38,1
RIO BANANAL,39,0
RIO BANANAL,40,0
RIO BANANAL,41,0
RIO BANANAL,42,0
RIO BANANAL,43,0
RIO BANANAL,44,0
RIO BANANAL,45,0
RIO BANANAL,46,0
RIO BANANAL,47,0
RIO BANANAL,48,0
RIO BANANAL,49,0
RIO BANANAL,50,0
RIO BANANAL,51,0
RIO BANANAL,52,0
RIO BANANAL,53,0
SAO DOMINGOS DO NORTE,1,0
SAO DOMINGOS DO NORTE,2,0
SAO DOMINGOS DO NORTE,3,1
SAO DOMINGOS DO NORTE,4,0
SAO DOMINGOS DO NORTE,5,0
SAO DOMINGOS DO NORTE,6,0
SAO DOMINGOS DO NORTE,7,0
SAO DOMINGOS DO NORTE,8,0
SAO DOMINGOS DO NORTE,9,0
SAO DOMINGOS DO NORTE,10,0
SAO DOMINGOS DO NORTE,11,0
SAO DOMINGOS DO NORTE,12,0
SAO DOMINGOS DO NORTE,13,0
SAO DOMINGOS DO NORTE,14,0
SAO DOMINGOS DO NORTE,15,1
SAO DOMINGOS DO NORTE,16,1
SAO DOMINGOS DO NORTE,17,0
SAO DOMINGOS DO NORTE,18,2
SAO DOMINGOS DO NORTE,19,8
SAO DOMINGOS DO NORTE,20,1
SAO DOMINGOS DO NORTE,21,1
SAO DOMINGOS DO NORTE,22,2
SAO DOMINGOS DO NORTE,23,1
SAO DOMINGOS DO NORTE,24,1
SAO DOMINGOS DO NORTE,25,1
SAO DOMINGOS DO NORTE,26,0
SAO DOMINGOS DO NORTE,27,0
SAO DOMINGOS DO NORTE,28,1
SAO DOMINGOS DO NORTE,29,0
SAO DOMINGOS DO NORTE,30,1
SAO DOMINGOS DO NORTE,31,0
SAO DOMINGOS DO NORTE,32,0
SAO DOMINGOS DO NORTE,33,0
SAO DOMINGOS DO NORTE,34,0
SAO DOMINGOS DO NORTE,35,0
SAO DOMINGOS DO NORTE,36,0
SAO DOMINGOS DO NORTE,37,3
SAO DOMINGOS DO NORTE,38,0
SAO DOMINGOS DO NORTE,39,0
SAO DOMINGOS DO NORTE,40,0
SAO DOMINGOS DO NORTE,41,0
SAO DOMINGOS DO NORTE,42,0
SAO DOMINGOS DO NORTE,43,0
SAO DOMINGOS DO NORTE,44,0
SAO DOMINGOS DO NORTE,45,0
SAO DOMINGOS DO NORTE,46,0
SAO DOMINGOS DO NORTE,47,0
SAO DOMINGOS DO NORTE,48,0
SAO DOMINGOS DO NORTE,49,0
SAO DOMINGOS DO NORTE,50,0
SAO DOMINGOS DO NORTE,51,0
SAO DOMINGOS DO NORTE,52,0
SAO DOMINGOS DO NORTE,53,0
SAO GABRIEL DA PALHA,1,0
